Parameter,Mean,StdDev,CV,PValue
Anger,2.3333,2.3381,1.0020,0.5371
Hunger,2.1667,1.1690,0.5396,0.7366
Thirsty,3.0000,2.4495,0.8165,0.6130
Numbness,1.1667,1.3292,1.1393,0.4849
LeadingToExist,3.8333,2.5626,0.6685,0.6777
Sanity,3.0000,1.4142,0.4714,0.7686
ReadSpeed,3.3333,2.1602,0.6481,0.6868
BrainSpeed,3.1667,2.1370,0.6748,0.6748
DopamineLevel,3.5000,2.4290,0.6940,0.6663
Sleepiness,2.1667,1.1690,0.5396,0.7366
PainOfHand,6.1667,1.1690,0.1896,0.9055
Earwarm,3.8333,2.1370,0.5575,0.7283
BPM,64.5000,3.8859,0.0602,0.9699
